0.08,S,S,S,S,S,S,S,S,S,S,S,S,S,S,I,S,I,I,I,S,S,S,S,S
0.13,S,S,S,S,S,S,S,S,S,S,S,S,S,S,I,S,I,S,I,S,S,S,S,S
0.03,S,S,S,S,S,S,I,S,S,S,S,S,S,S,I,S,I,S,I,S,S,S,S,S
0.17,S,S,S,S,S,S,I,S,S,S,S,S,S,S,I,S,I,S,S,S,S,S,S,S
0.11,S,S,S,S,S,S,I,S,S,S,S,S,S,S,I,I,I,S,S,S,S,S,S,S
0.01,S,S,I,S,S,S,I,S,S,S,S,S,S,S,I,I,I,S,S,S,S,S,S,S
0.03,S,S,I,S,S,S,I,S,S,S,S,S,S,S,I,I,I,S,S,S,S,I,S,S
0.08,S,S,I,S,S,S,I,S,S,S,S,S,S,S,S,I,I,S,S,S,S,I,S,S
0.09,S,S,I,S,S,S,I,S,S,S,S,S,S,S,S,I,I,S,S,S,S,I,I,S
0.03,S,S,I,S,S,S,I,S,S,S,S,S,S,S,S,I,I,S,S,S,S,I,I,I
0.34,S,S,I,I,S,S,I,S,S,S,S,S,S,S,S,I,I,S,S,S,S,I,I,I
0.13,S,S,I,I,I,S,I,S,S,S,S,S,S,S,S,I,I,S,S,S,S,I,I,I
0.17,S,S,I,I,I,S,I,S,S,S,S,S,S,S,S,I,S,S,S,S,S,I,I,I
0.07,S,S,I,I,I,S,I,S,S,S,S,S,S,S,S,I,S,S,I,S,S,I,I,I
0.03,S,S,I,I,I,S,I,S,S,S,S,S,S,S,S,S,S,S,I,S,S,I,I,I
0.02,S,S,I,I,I,S,I,S,S,I,S,S,S,S,S,S,S,S,I,S,S,I,I,I
0.04,S,S,I,I,I,S,I,S,S,I,S,S,S,S,S,S,S,S,I,S,S,I,I,S
0.01,S,I,I,I,I,S,I,S,S,I,S,S,S,S,S,S,S,S,I,S,S,I,I,S
0.17,S,I,I,I,S,S,I,S,S,I,S,S,S,S,S,S,S,S,I,S,S,I,I,S
0.08,S,I,I,I,S,S,I,S,S,I,S,S,S,S,S,S,I,S,I,S,S,I,I,S
0.01,S,I,I,I,S,S,I,S,S,I,I,S,S,S,S,S,I,S,I,S,S,I,I,S
0.07,S,I,I,S,S,S,I,S,S,I,I,S,S,S,S,S,I,S,I,S,S,I,I,S
0.13,S,I,I,S,S,S,I,S,S,I,I,S,S,S,S,S,I,S,I,S,S,S,I,S
0.14,S,I,I,S,S,S,I,S,S,I,I,S,S,S,S,S,I,S,I,S,S,S,S,S
0.03,S,I,I,S,S,S,I,S,S,I,I,S,S,S,S,S,I,S,I,S,S,S,I,S
0.06,S,I,I,S,S,S,S,S,S,I,I,S,S,S,S,S,I,S,I,S,S,S,I,S
0.01,S,I,I,I,S,S,S,S,S,I,I,S,S,S,S,S,I,S,I,S,S,S,I,S
0.04,S,S,I,I,S,S,S,S,S,I,I,S,S,S,S,S,I,S,I,S,S,S,I,S
0.18,S,S,I,I,S,S,S,S,S,I,I,S,S,S,S,S,I,I,I,S,S,S,I,S
0.15,I,S,I,I,S,S,S,S,S,I,I,S,S,S,S,S,I,I,I,S,S,S,I,S
0.02,I,S,I,I,S,S,S,S,S,I,I,S,I,S,S,S,I,I,I,S,S,S,I,S
0.00,I,S,I,I,S,S,I,S,S,I,I,S,I,S,S,S,I,I,I,S,S,S,I,S
0.03,I,S,I,I,S,S,I,S,S,I,S,S,I,S,S,S,I,I,I,S,S,S,I,S
0.04,I,S,I,I,S,S,I,S,S,I,S,S,I,S,S,I,I,I,I,S,S,S,I,S
0.02,I,S,I,I,I,S,I,S,S,I,S,S,I,S,S,I,I,I,I,S,S,S,I,S
0.02,I,S,I,I,I,S,I,S,S,I,S,S,I,S,S,I,I,S,I,S,S,S,I,S
