0.44,S,S,S,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S
1.04,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.37,S,I,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.79,S,I,S,S,S,S,S,I,S,S,S,S,S,S,S,S,S,S
0.11,S,I,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.07,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.65,S,S,S,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S
0.93,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.33,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S,S,S
0.33,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
1.21,S,I,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
2.12,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.01,S,S,S,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S
0.04,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.53,S,S,S,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S
0.31,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.06,S,I,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
1.82,S,I,S,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S
0.00,S,I,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.75,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.46,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S,S,S
0.73,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
1.82,S,I,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.03,S,I,S,S,S,S,S,I,S,S,S,S,S,S,S,S,S,S
0.65,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S,S,S
1.12,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.60,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S,S,S
0.93,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
3.07,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S,S,S
0.93,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.53,S,S,S,I,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.20,S,S,S,I,S,S,S,I,S,S,S,S,S,S,S,S,S,S
0.04,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S,S,S
0.26,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
4.71,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S,S,S
0.76,S,S,I,S,S,S,S,I,S,S,S,S,S,S,S,S,S,S
3.75,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S,S,S
0.14,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.34,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S,S,S
0.25,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
1.69,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S,S,S
0.86,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.34,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S,S,S
0.48,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.68,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S,S,S
0.32,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
1.08,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S,S,S
1.51,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
2.30,S,S,S,S,S,S,S,S,S,S,S,S,S,S,I,S,S,S
0.01,S,S,S,S,S,S,S,I,S,S,S,S,S,S,I,S,S,S
1.31,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S,S,S
0.72,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.73,S,S,I,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.15,S,S,I,S,S,S,S,I,S,S,S,S,S,S,S,S,S,S
0.02,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S,S,S
1.06,S,S,S,S,S,S,S,I,S,S,I,S,S,S,S,S,S,S
0.54,S,S,S,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S
0.24,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.73,S,S,S,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S
0.62,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
5.08,S,S,S,S,S,S,S,S,S,S,S,S,S,S,I,S,S,S
0.02,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.04,S,S,S,S,S,S,S,S,S,S,S,S,S,S,I,S,S,S
0.72,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.07,S,S,S,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S
0.30,S,S,S,S,S,S,S,S,S,S,I,S,S,S,I,S,S,S
0.24,S,S,S,S,S,S,S,S,S,S,S,S,S,S,I,S,S,S
0.73,S,I,S,S,S,S,S,S,S,S,S,S,S,S,I,S,S,S
